,precision,recall,f1
airplane,0.742609312327472,0.8875,0.797893217893218
breathing,0.7547222222222223,0.825,0.7870098039215686
brushing_teeth,0.5214468301424824,0.575,0.528892544385728
can_opening,0.7884210526315789,0.775,0.7765681756573597
car_horn,0.7167995746943114,0.825,0.755984077841663
cat,0.6903870639164758,0.725,0.697239105133842
chainsaw,0.5657342657342657,0.5,0.5206291591046581
chirping_birds,0.6714160839160839,0.6125,0.630755168572773
church_bells,0.8685130718954248,0.825,0.8219693740473792
clapping,0.7859803921568628,0.675,0.7192247119666475
clock_alarm,0.6723376623376623,0.6125,0.6389127837514934
clock_tick,0.638796992481203,0.6875,0.6516102206424786
coughing,0.6885531135531135,0.7375,0.7013721835425689
cow,0.8548128342245989,0.5875,0.674025974025974
crackling_fire,0.665052790346908,0.6375,0.6453290251955436
crickets,0.6232142857142857,0.425,0.49072338830584705
crow,0.3853102453102453,0.5,0.4255686662567804
crying_baby,0.6755555555555556,0.8375,0.7435376173137084
dog,0.9363515406162465,0.9125,0.9232966764418377
door_wood_creaks,0.6398070030328096,0.825,0.7078337168772795
door_wood_knock,0.639351851851852,0.7875,0.6961411308709531
drinking_sipping,0.7560840604184258,0.6625,0.6648712690817955
engine,0.662000891265597,0.75,0.6997039580868103
fireworks,0.5022727272727272,0.5,0.4899298918399088
footsteps,0.6331268134493941,0.75,0.6525545848796874
frog,0.4293040293040293,0.3625,0.37076871702397646
glass_breaking,0.5165966386554622,0.4625,0.4824242424242424
hand_saw,0.7482621082621081,0.725,0.7177428309331975
helicopter,0.8328654970760233,0.9125,0.8684042649317792
hen,0.5645299145299145,0.4375,0.47906623464432796
insects,0.7656010230179028,0.9,0.8229816778203876
keyboard_typing,0.8536752136752137,0.5625,0.6701294315621344
laughing,0.6756727716727716,0.825,0.7309262658988083
mouse_click,0.6122619047619048,0.2375,0.3317179559570863
pig,0.7495321637426902,0.8625,0.799956025420921
pouring_water,0.5223944750313919,0.525,0.5053939393939394
rain,0.6187347155768209,0.425,0.4886686405900992
rooster,0.7981218781218782,0.8,0.7900786448880821
sea_waves,0.8397058823529411,0.775,0.7985431235431235
sheep,0.8194633642930856,0.9125,0.8609318404384819
siren,0.2731601731601732,0.175,0.2103259623259623
sneezing,0.6823076923076923,0.675,0.6724632307502163
snoring,0.7388235294117647,0.6375,0.678944044461286
thunderstorm,0.7902051673218721,0.6125,0.6380922066439308
toilet_flush,0.6060588724776368,0.5,0.5221855921855922
train,0.4577764976958525,0.575,0.5017898217366302
vacuum_cleaner,0.7370747574392075,0.8625,0.7914444524738643
washing_machine,0.38832442067736184,0.4,0.38943415048678204
water_drops,0.5106227106227107,0.55,0.519405316646696
wind,0.7184967320261437,0.6,0.6398654476453338
