,air_conditioner,air_conditioner,air_conditioner,car_horn,car_horn,car_horn,children_playing,children_playing,children_playing,dog_bark,dog_bark,dog_bark,drilling,drilling,drilling,engine_idling,engine_idling,engine_idling,gun_shot,gun_shot,gun_shot,jackhammer,jackhammer,jackhammer,siren,siren,siren,street_music,street_music,street_music
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
10,0.6948356807511737,0.74,0.7167070217917675,1.0,0.7272727272727273,0.8421052631578948,0.5331010452961672,0.765,0.6283367556468172,0.7358490566037735,0.78,0.7572815533980584,0.8795180722891566,0.73,0.7978142076502732,0.7851239669421488,0.510752688172043,0.6188925081433225,0.9117647058823529,0.96875,0.9393939393939394,0.8632075471698113,0.953125,0.9059405940594059,0.8207547169811321,0.5240963855421686,0.6397058823529411,0.7468879668049793,0.9,0.816326530612245
9,0.4186046511627907,0.09,0.14814814814814814,0.9285714285714286,0.8125,0.8666666666666666,0.72,0.72,0.72,0.6082089552238806,0.815,0.6965811965811965,0.5648854961832062,0.74,0.6406926406926408,0.9221556886227545,0.8651685393258427,0.8927536231884058,0.9384615384615385,0.9838709677419355,0.9606299212598426,0.7111111111111111,0.7804878048780488,0.7441860465116279,0.9294117647058824,0.9634146341463414,0.9461077844311377,0.7375565610859729,0.815,0.7743467933491686
8,0.7108433734939759,0.295,0.4169611307420495,0.7571428571428571,0.8833333333333333,0.8153846153846154,0.594488188976378,0.755,0.6651982378854626,0.6704545454545454,0.885,0.7629310344827586,0.6313868613138686,0.865,0.729957805907173,0.7279411764705882,0.5625,0.6346153846153845,0.967741935483871,1.0,0.9836065573770492,0.7463768115942029,0.6602564102564102,0.7006802721088434,0.6785714285714286,0.59375,0.6333333333333334,0.6544502617801047,0.625,0.639386189258312
7,0.5677655677655677,0.775,0.6553911205073996,0.7419354838709677,0.8214285714285714,0.7796610169491526,0.6631016042780749,0.62,0.6408268733850129,0.8018018018018018,0.89,0.8436018957345972,0.7150537634408602,0.665,0.6891191709844561,0.7023809523809523,0.5566037735849056,0.6210526315789474,0.96,0.9411764705882353,0.9504950495049505,0.6721311475409836,0.5394736842105263,0.5985401459854015,0.6917808219178082,0.6558441558441559,0.6733333333333335,0.7285714285714285,0.765,0.7463414634146341
6,0.3803921568627451,0.485,0.42637362637362636,0.803030303030303,0.9464285714285714,0.8688524590163934,0.5895522388059702,0.79,0.6752136752136753,0.9333333333333333,0.77,0.8438356164383561,0.8469387755102041,0.83,0.8383838383838385,0.40425531914893614,0.26635514018691586,0.3211267605633803,0.9368421052631579,0.967391304347826,0.9518716577540107,0.6197183098591549,0.3235294117647059,0.42512077294685985,0.6410256410256411,0.8445945945945946,0.728862973760933,0.7268041237113402,0.705,0.715736040609137
5,0.6776859504132231,0.82,0.7420814479638008,0.967948717948718,0.7704081632653061,0.8579545454545455,0.7666666666666667,0.69,0.7263157894736842,0.75,0.87,0.8055555555555555,0.7391304347826086,0.68,0.7083333333333334,0.8303030303030303,0.6401869158878505,0.7229551451187335,0.9090909090909091,1.0,0.9523809523809523,0.921161825726141,0.925,0.923076923076923,0.8227848101265823,0.9154929577464789,0.8666666666666667,0.7433628318584071,0.84,0.7887323943661971
4,0.7687074829931972,0.565,0.6512968299711815,0.9558823529411765,0.5508474576271186,0.6989247311827957,0.7446808510638298,0.7,0.7216494845360825,0.7478260869565218,0.86,0.7999999999999999,0.64,0.64,0.64,0.5286885245901639,0.602803738317757,0.5633187772925764,0.92,0.9078947368421053,0.913907284768212,0.5045592705167173,0.6916666666666667,0.5834797891036908,0.8415300546448088,0.927710843373494,0.8825214899713467,0.8646616541353384,0.575,0.6906906906906906
3,0.4444444444444444,0.34,0.38526912181303113,0.75,0.5930232558139535,0.6623376623376622,0.6707317073170732,0.55,0.6043956043956045,0.615686274509804,0.785,0.6901098901098901,0.7083333333333334,0.68,0.6938775510204083,0.45901639344262296,0.3925233644859813,0.42317380352644834,0.972972972972973,1.0,0.9863013698630138,0.6516393442622951,0.6625,0.6570247933884298,0.7216117216117216,0.8277310924369747,0.7710371819960861,0.5163934426229508,0.63,0.5675675675675675
2,0.6763005780346821,0.585,0.6273458445040214,0.782608695652174,0.6428571428571429,0.7058823529411765,0.7110091743119266,0.775,0.7416267942583732,0.8341013824884793,0.905,0.86810551558753,0.7286432160804021,0.725,0.7268170426065164,0.5212121212121212,0.86,0.6490566037735849,0.918918918918919,0.9714285714285714,0.9444444444444445,0.6944444444444444,0.3125,0.4310344827586207,0.8114285714285714,0.7802197802197802,0.7955182072829132,0.7605633802816901,0.81,0.7845036319612592
1,0.3951612903225806,0.49,0.43749999999999994,0.7325581395348837,0.875,0.7974683544303797,0.7682926829268293,0.63,0.6923076923076923,0.8579545454545454,0.755,0.8031914893617021,0.5806451612903226,0.54,0.5595854922279794,0.6538461538461539,0.6197916666666666,0.6363636363636364,0.7439024390243902,0.8714285714285714,0.8026315789473685,0.7908163265306123,0.6458333333333334,0.7110091743119267,0.7715736040609137,0.8837209302325582,0.823848238482385,0.6331877729257642,0.725,0.675990675990676
