,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
1,epoch_7,0.4526,1.5290000000000001,0.648,0.648,0.648,0.6963,0.7070000000000001,0.6846
2,epoch_5,0.5986,1.126,0.648,0.648,0.648,0.6729999999999999,0.7188,0.6646
3,epoch_9,0.342,1.1840000000000002,0.645,0.645,0.645,0.6855,0.6826,0.6743
4,epoch_12,0.2269,1.252,0.691,0.691,0.691,0.684,0.723,0.693
5,epoch_14,0.19899999999999998,0.8325,0.7783,0.7783,0.7783,0.7909999999999999,0.7929999999999999,0.7896
6,epoch_5,0.5996,1.131,0.6763,0.6763,0.6763,0.705,0.7056,0.7007
7,epoch_9,0.3335,1.112,0.7124,0.7124,0.7124,0.7266,0.7334,0.7227
8,epoch_12,0.2311,1.21,0.7227,0.7227,0.7227,0.7544,0.745,0.7417
9,epoch_6,0.5205,1.2570000000000001,0.73,0.73,0.73,0.758,0.746,0.7373
10,epoch_7,0.4507,0.9785,0.728,0.728,0.728,0.7397,0.768,0.74
