,precision,recall,f1
air_conditioner,0.5993540049358606,0.4365,0.4896879451266842
car_horn,0.8369674111026433,0.7827545309475422,0.7994923241926812
children_playing,0.6620106818215757,0.7050000000000001,0.6789537035353774
dog_bark,0.7862730840978327,0.8135000000000001,0.7964604273015862
drilling,0.6720434548770918,0.7095,0.6873699787178148
engine_idling,0.6665762854477826,0.6306087153230799,0.6286885768908967
gun_shot,0.9246825802681045,0.9428232701602823,0.9322180874304195
jackhammer,0.6910161678626907,0.6498882095669314,0.644258274952241
siren,0.8073444887639367,0.7748967451923787,0.7786108953379893
street_music,0.6766076868370152,0.7675000000000001,0.7120715987939864
