,precision,recall,f1
airplane,0.7412280701754387,0.775,0.7551203277009729
breathing,0.8458333333333332,0.8875,0.8638513513513513
brushing_teeth,0.707857142857143,0.7125,0.7066158093577448
can_opening,0.7240098351940457,0.8375,0.7745123839009288
car_horn,0.8778571428571429,0.7875,0.8072883893711383
cat,0.7073260073260073,0.6375,0.6643110105179071
chainsaw,0.8183052241875771,0.825,0.8119113013956614
chirping_birds,0.951048951048951,0.575,0.7096114165139651
church_bells,0.8773496240601503,0.8125,0.8247049689440994
clapping,0.8587301587301587,0.8625,0.8545416004239532
clock_alarm,0.5630367780204627,0.7375,0.630756144440355
clock_tick,0.7458441558441558,0.8125,0.7729239766081871
coughing,0.8546153846153846,0.8,0.8163719422340112
cow,0.8478672643146327,0.7875,0.8120894909688013
crackling_fire,0.7848910738384424,0.8625,0.8154743413364102
crickets,0.7024189261031366,0.6125,0.6376532835356364
crow,0.5612698412698413,0.5125,0.5307057673509287
crying_baby,0.8438636363636365,0.95,0.8876169590643276
dog,0.8955200973776825,0.9375,0.912367254111676
door_wood_creaks,0.6856243250923557,0.8375,0.7476413745308085
door_wood_knock,0.7816414141414141,0.9125,0.83556551483072
drinking_sipping,0.7239731682146543,0.85,0.777573956411833
engine,0.9231559290382819,0.725,0.7903451910408432
fireworks,0.6823062558356676,0.7,0.688492898625726
footsteps,0.5826479808224231,0.7375,0.6443618851049192
frog,0.7037161531279178,0.6875,0.6767843009703475
glass_breaking,0.6836363636363637,0.6375,0.6494623655913978
hand_saw,0.9304575163398694,0.875,0.8931365914288116
helicopter,0.8453947368421051,0.8875,0.8632422969187676
hen,0.6803571428571429,0.6,0.636547619047619
insects,0.8807777777777778,0.9125,0.8853098665875097
keyboard_typing,0.8223391812865497,0.7125,0.7519631336405531
laughing,0.7438095238095237,0.8125,0.7686932761460012
mouse_click,0.8428571428571429,0.5,0.614113422809075
pig,0.799047619047619,0.825,0.792241790177274
pouring_water,0.587561973630085,0.575,0.5761228043986665
rain,0.7425252525252526,0.5625,0.6264870335230868
rooster,0.946184012066365,0.8375,0.8837099208623125
sea_waves,0.8164285714285713,0.8375,0.8216666666666667
sheep,0.6696666666666666,0.8875,0.757274031563845
siren,0.38060606060606056,0.225,0.2575748681011839
sneezing,0.7714291101055807,0.725,0.7460035561398186
snoring,0.7512820512820513,0.7375,0.7276937119675456
thunderstorm,0.7308730158730159,0.575,0.6306334841628959
toilet_flush,0.5882141250562303,0.425,0.47879623824451406
train,0.6009961685823755,0.775,0.669607843137255
vacuum_cleaner,0.8834249084249084,0.7875,0.8174902143522832
washing_machine,0.49732780115318687,0.675,0.5659047797395275
water_drops,0.798235294117647,0.6125,0.5920163170163171
wind,0.9016666666666667,0.8125,0.8362113289760348
