,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
6,epoch_9,0.285,1.224,0.7340000000000001,0.7340000000000001,0.7340000000000001,0.76,0.7809999999999999,0.7607
8,epoch_12,0.1735,1.114,0.768,0.768,0.768,0.794,0.8003,0.7812
10,epoch_16,0.1349,0.732,0.828,0.828,0.828,0.843,0.853,0.84
9,epoch_10,0.2462,0.9653,0.78,0.78,0.78,0.8029999999999999,0.8037,0.79
7,epoch_12,0.1987,0.6970000000000001,0.794,0.794,0.794,0.8115,0.8145,0.8029999999999999
5,epoch_28,0.0495,0.5429999999999999,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.871,0.87,0.8647
4,epoch_16,0.1317,0.826,0.7856,0.7856,0.7856,0.7896,0.7909999999999999,0.7856
3,epoch_8,0.3208,1.4380000000000002,0.6597,0.6597,0.6597,0.6990000000000001,0.6895,0.6763
2,epoch_8,0.3242,1.025,0.7197,0.7197,0.7197,0.7544,0.7417,0.737
1,epoch_3,0.725,0.802,0.736,0.736,0.736,0.737,0.7607,0.737
