,precision,recall,f1
air_conditioner,0.6940064290435577,0.5730000000000002,0.5987273305468728
car_horn,0.9046528658141219,0.8677909669066441,0.8815039644917455
children_playing,0.8073429470469714,0.7985,0.7971560526685009
dog_bark,0.8663421185919278,0.842,0.8514144755765773
drilling,0.726183278723355,0.817,0.7630267266663211
engine_idling,0.7470755207852409,0.6607543244454148,0.6902189008694037
gun_shot,0.8203035429102776,0.9591658225259543,0.8812877571391906
jackhammer,0.7228006542810439,0.7212952198258588,0.7077294456178425
siren,0.8505690402869313,0.7894756007848069,0.8112719230063339
street_music,0.7658918100028768,0.8334999999999999,0.7930912577107414
