,air_conditioner,air_conditioner,air_conditioner,car_horn,car_horn,car_horn,children_playing,children_playing,children_playing,dog_bark,dog_bark,dog_bark,drilling,drilling,drilling,engine_idling,engine_idling,engine_idling,gun_shot,gun_shot,gun_shot,jackhammer,jackhammer,jackhammer,siren,siren,siren,street_music,street_music,street_music
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
10,0.773109243697479,0.92,0.8401826484018265,0.953125,0.9242424242424242,0.9384615384615383,0.7112068965517241,0.825,0.763888888888889,0.7868020304568528,0.775,0.7808564231738037,0.8994413407821229,0.805,0.8496042216358839,0.9743589743589743,0.8172043010752689,0.888888888888889,0.8356164383561644,0.953125,0.8905109489051095,0.9411764705882353,1.0,0.9696969696969697,0.7796610169491526,0.5542168674698795,0.647887323943662,0.8075117370892019,0.86,0.8329297820823245
9,0.86,0.43,0.5733333333333333,0.953125,0.953125,0.953125,0.9278350515463918,0.9,0.9137055837563451,0.8505154639175257,0.825,0.8375634517766498,0.7120418848167539,0.68,0.6956521739130435,0.949438202247191,0.949438202247191,0.949438202247191,0.5340909090909091,0.7580645161290323,0.6266666666666667,0.6976744186046512,0.9146341463414634,0.79155672823219,0.9195402298850575,0.975609756097561,0.9467455621301775,0.811965811965812,0.95,0.8755760368663594
8,0.7311827956989247,0.34,0.4641638225255973,0.9322033898305084,0.9166666666666666,0.9243697478991596,0.6416666666666667,0.77,0.7000000000000001,0.7897196261682243,0.845,0.8164251207729468,0.6577946768060836,0.865,0.7473002159827213,0.7262569832402235,0.7386363636363636,0.7323943661971831,0.6704545454545454,0.9833333333333333,0.7972972972972971,0.7517241379310344,0.6987179487179487,0.7242524916943521,0.7119565217391305,0.81875,0.7616279069767442,0.9047619047619048,0.665,0.7665706051873199
7,0.6652719665271967,0.795,0.724373576309795,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.8402366863905325,0.71,0.7696476964769648,0.9344262295081968,0.855,0.8929503916449086,0.7357512953367875,0.71,0.7226463104325699,0.7551867219917012,0.8584905660377359,0.8035320088300221,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.689873417721519,0.7171052631578947,0.7032258064516128,0.9099099099099099,0.6558441558441559,0.7622641509433962,0.7792792792792793,0.865,0.8199052132701422
6,0.4763779527559055,0.605,0.5330396475770924,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.8300970873786407,0.855,0.8423645320197045,0.987012987012987,0.76,0.8587570621468925,0.979381443298969,0.95,0.9644670050761421,0.9921259842519685,0.5887850467289719,0.7390029325513197,0.773109243697479,1.0,0.8720379146919433,0.9158878504672897,0.7205882352941176,0.8065843621399177,0.96,0.8108108108108109,0.8791208791208791,0.565359477124183,0.865,0.683794466403162
5,0.9342105263157895,0.71,0.8068181818181819,0.9583333333333334,0.9387755102040817,0.9484536082474228,0.8829787234042553,0.83,0.8556701030927835,0.9090909090909091,0.85,0.8785529715762274,0.8333333333333334,0.9,0.8653846153846153,0.8216216216216217,0.7102803738317757,0.7619047619047619,0.8163265306122449,1.0,0.898876404494382,0.8450704225352113,1.0,0.916030534351145,0.7740112994350282,0.9647887323943662,0.8589341692789969,0.9533678756476683,0.92,0.9363867684478372
4,0.8306451612903226,0.515,0.6358024691358025,0.9746835443037974,0.652542372881356,0.7817258883248732,0.8411764705882353,0.715,0.772972972972973,0.8476190476190476,0.89,0.8682926829268293,0.7478991596638656,0.89,0.8127853881278538,0.784688995215311,0.7663551401869159,0.7754137115839244,0.8823529411764706,0.9868421052631579,0.9316770186335402,0.6,0.775,0.6763636363636363,0.9447852760736196,0.927710843373494,0.9361702127659575,0.7074235807860262,0.81,0.7552447552447553
3,0.44387755102040816,0.435,0.43939393939393945,0.8241758241758241,0.872093023255814,0.847457627118644,0.8061224489795918,0.79,0.7979797979797979,0.8789473684210526,0.835,0.8564102564102565,0.5356125356125356,0.94,0.6823956442831216,0.4444444444444444,0.35514018691588783,0.3948051948051947,0.7578947368421053,1.0,0.8622754491017963,0.47692307692307695,0.3875,0.4275862068965517,0.9605911330049262,0.819327731092437,0.8843537414965986,0.7777777777777778,0.63,0.6961325966850829
2,0.6470588235294118,0.275,0.3859649122807018,0.8902439024390244,0.8690476190476191,0.8795180722891567,0.8153846153846154,0.795,0.8050632911392405,0.813953488372093,0.875,0.8433734939759036,0.7760416666666666,0.745,0.7602040816326531,0.6094890510948905,0.835,0.7046413502109705,0.7906976744186046,0.9714285714285714,0.8717948717948717,0.6761904761904762,0.5916666666666667,0.6311111111111112,0.7417582417582418,0.7417582417582418,0.7417582417582419,0.7568627450980392,0.965,0.8483516483516483
1,0.6357615894039735,0.48,0.547008547008547,0.8157894736842105,0.8611111111111112,0.8378378378378377,0.8061674008810573,0.915,0.8571428571428572,0.9542857142857143,0.835,0.8906666666666667,0.4745762711864407,0.7,0.5656565656565656,0.8300653594771242,0.6614583333333334,0.736231884057971,0.6868686868686869,0.9714285714285714,0.8047337278106508,0.6192660550458715,0.5625,0.5895196506550218,0.8626373626373627,0.9127906976744186,0.8870056497175142,0.8823529411764706,0.75,0.8108108108108107
