,precision,recall,f1
air_conditioner,0.7073373746063899,0.525,0.5740771066738628
car_horn,0.893458613960998,0.8586773171766169,0.8716027640954955
children_playing,0.7769994663619184,0.7985000000000001,0.780152071367581
dog_bark,0.8400212566916376,0.8414999999999999,0.8386017018001433
drilling,0.6858144597719819,0.8335000000000001,0.7401928326402293
engine_idling,0.7390700370314474,0.627334626866778,0.6682834380621341
gun_shot,0.8433361250475926,0.9587649134972018,0.8941850659404258
jackhammer,0.7431066078820769,0.681687486809674,0.695117040828982
siren,0.8326262049157058,0.8274247790752625,0.8291410456352958
street_music,0.7418231348784116,0.7895000000000001,0.7562174035975071
