,precision,recall,f1
airplane,0.7031275118743149,0.75,0.7206877120349606
breathing,0.6306888763410503,0.8,0.6993141224100977
brushing_teeth,0.6595848595848596,0.55,0.587933899680683
can_opening,0.5526363008971704,0.65,0.5911211664152841
car_horn,0.6931024531024531,0.6375,0.6416250389644977
cat,0.5193362193362192,0.475,0.4894073905838612
chainsaw,0.6030139681290576,0.6625,0.6238426707392224
chirping_birds,0.3800666000666001,0.2875,0.32176208038277
church_bells,0.4784299516908213,0.45,0.44128205128205134
clapping,0.7152257872846108,0.7625,0.7315035583611436
clock_alarm,0.6201680672268907,0.5375,0.5151113656376815
clock_tick,0.5304511278195488,0.5875,0.5340656990068755
coughing,0.33716375578444546,0.5375,0.41017897154120064
cow,0.4307809837221602,0.3625,0.3911203993962615
crackling_fire,0.6185714285714285,0.475,0.5248837195933971
crickets,0.3897222222222222,0.25,0.2903479262672811
crow,0.28270531400966187,0.325,0.2666393029720704
crying_baby,0.6256613756613756,0.6875,0.6341363546014709
dog,0.8450324675324676,0.8,0.8145370370370371
door_wood_creaks,0.5513752122241086,0.7375,0.6223747426218257
door_wood_knock,0.5886512180629827,0.5,0.5346857935093229
drinking_sipping,0.5191689026487788,0.6875,0.5848534049694302
engine,0.802063492063492,0.5,0.5727619047619048
fireworks,0.3351048951048951,0.3,0.31603839657232313
footsteps,0.5789223057644111,0.5625,0.5655401945724526
frog,0.2656996336996337,0.2625,0.2551405650439926
glass_breaking,0.36600732600732594,0.2375,0.27567721515586296
hand_saw,0.8215574229691878,0.725,0.7006459371029332
helicopter,0.5175757575757576,0.55,0.5285819605683783
hen,0.37150692444810096,0.3375,0.32837088837088835
insects,0.6996444731738849,0.6875,0.6899512365029606
keyboard_typing,0.5737450980392156,0.5375,0.5453073349414812
laughing,0.587663758326297,0.7625,0.660969298658644
mouse_click,0.28130952380952384,0.2125,0.22303410553410555
pig,0.6517037037037037,0.8875,0.7430658477627536
pouring_water,0.5372222222222222,0.4625,0.4699530791788856
rain,0.5691456582633053,0.55,0.5466433566433565
rooster,0.7615476190476189,0.6875,0.7003835358190197
sea_waves,0.5626990553306342,0.6,0.5707495358760992
sheep,0.49553038606747035,0.6375,0.5555627202686025
siren,0.2806941266209001,0.2625,0.25941391941391945
sneezing,0.6852813852813853,0.3125,0.4065221023573427
snoring,0.5879936240230358,0.5375,0.5551786008909421
thunderstorm,0.479017094017094,0.425,0.43709574741165397
toilet_flush,0.5666233766233766,0.3375,0.419980180849746
train,0.5271839271839271,0.4375,0.45537287378719604
vacuum_cleaner,0.7244110275689224,0.6375,0.6490236528946207
washing_machine,0.39186819102667625,0.475,0.392236289296001
water_drops,0.24027777777777776,0.2375,0.23500179211469535
wind,0.8112745098039216,0.625,0.6693148880105403
