,epochs,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
4,epoch_1,0.621,0.621,0.621,0.6206,0.6,0.607
6,epoch_1,0.6636,0.6636,0.6636,0.684,0.6953,0.679
5,epoch_1,0.6779999999999999,0.6779999999999999,0.6779999999999999,0.687,0.6865,0.6753
3,epoch_1,0.5435,0.5435,0.5435,0.5913,0.5579999999999999,0.5547
2,epoch_1,0.589,0.589,0.589,0.615,0.589,0.5874
1,epoch_1,0.67,0.67,0.67,0.652,0.6694,0.648
10,epoch_1,0.7417,0.7417,0.7417,0.7363,0.7534,0.738
7,epoch_1,0.5938,0.5938,0.5938,0.6035,0.629,0.599
9,epoch_1,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7417,0.7583,0.737
8,epoch_1,0.624,0.624,0.624,0.66,0.6045,0.6143
