,precision,recall,f1
air_conditioner,0.5093915425209474,0.5275,0.5066064334377822
car_horn,0.6385262365689122,0.6475978378430479,0.6251755681547221
children_playing,0.5914984621505635,0.666,0.6252694606682041
dog_bark,0.77004442290339,0.721,0.7401890803125598
drilling,0.6892826293497651,0.622,0.646744574251875
engine_idling,0.6680261015351878,0.48105156871395477,0.5543774180544172
gun_shot,0.6748365298397759,0.8733368594386649,0.7558192530705653
jackhammer,0.6434256424204827,0.5856837151025119,0.5905381869247037
siren,0.7565743101891576,0.7869627348704361,0.7615383640474549
street_music,0.6019154235717605,0.6805000000000001,0.6328995662924479
