,air_conditioner,air_conditioner,air_conditioner,car_horn,car_horn,car_horn,children_playing,children_playing,children_playing,dog_bark,dog_bark,dog_bark,drilling,drilling,drilling,engine_idling,engine_idling,engine_idling,gun_shot,gun_shot,gun_shot,jackhammer,jackhammer,jackhammer,siren,siren,siren,street_music,street_music,street_music
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
4,0.39880952380952384,0.335,0.36413043478260865,0.4714285714285714,0.559322033898305,0.5116279069767442,0.6026785714285714,0.675,0.6367924528301886,0.7684729064039408,0.78,0.7741935483870968,0.5512820512820513,0.645,0.5944700460829494,0.5460122699386503,0.4158878504672897,0.47214854111405835,0.6907216494845361,0.881578947368421,0.7745664739884394,0.48,0.45,0.4645161290322581,0.875,0.9066265060240963,0.8905325443786982,0.6153846153846154,0.56,0.5863874345549739
6,0.36909871244635195,0.43,0.39722863741339487,0.6,0.6964285714285714,0.6446280991735538,0.6,0.75,0.6666666666666665,0.6805555555555556,0.735,0.7067307692307692,0.9455782312925171,0.695,0.8011527377521614,0.8818897637795275,0.5233644859813084,0.656891495601173,0.7739130434782608,0.967391304347826,0.859903381642512,0.8584905660377359,0.6691176470588235,0.7520661157024794,0.6474358974358975,0.6824324324324325,0.6644736842105264,0.5974025974025974,0.69,0.6403712296983758
5,0.6766169154228856,0.68,0.6783042394014963,0.6941176470588235,0.6020408163265306,0.6448087431693988,0.536036036036036,0.595,0.5639810426540285,0.7870967741935484,0.61,0.6873239436619719,0.6513157894736842,0.495,0.5625,0.7132867132867133,0.4766355140186916,0.5714285714285714,0.5158730158730159,0.8125,0.6310679611650487,0.7643097643097643,0.9458333333333333,0.8454376163873369,0.9448818897637795,0.8450704225352113,0.892193308550186,0.5806451612903226,0.81,0.676409185803758
3,0.47413793103448276,0.275,0.34810126582278483,0.6239316239316239,0.8488372093023255,0.7192118226600985,0.5435684647302904,0.655,0.5941043083900226,0.7700534759358288,0.72,0.7441860465116279,0.3715277777777778,0.535,0.4385245901639344,0.45180722891566266,0.35046728971962615,0.39473684210526316,0.7692307692307693,0.9722222222222222,0.8588957055214724,0.5,0.14583333333333334,0.22580645161290322,0.6797385620915033,0.8739495798319328,0.7647058823529412,0.39925373134328357,0.535,0.45726495726495725
2,0.44666666666666666,0.335,0.38285714285714284,0.5666666666666667,0.6071428571428571,0.5862068965517241,0.568,0.71,0.631111111111111,0.6037037037037037,0.815,0.6936170212765959,0.8880597014925373,0.595,0.7125748502994012,0.45454545454545453,0.275,0.34267912772585674,0.6704545454545454,0.8428571428571429,0.7468354430379747,0.44654088050314467,0.29583333333333334,0.355889724310777,0.6044776119402985,0.8901098901098901,0.7199999999999999,0.6382113821138211,0.785,0.7040358744394618
1,0.49583333333333335,0.595,0.5409090909090909,0.6842105263157895,0.3611111111111111,0.4727272727272728,0.6878048780487804,0.705,0.6962962962962963,0.7777777777777778,0.7,0.7368421052631577,0.6071428571428571,0.595,0.601010101010101,0.7595628415300546,0.7239583333333334,0.7413333333333334,0.3984375,0.7285714285714285,0.5151515151515151,0.7292418772563177,0.8416666666666667,0.781431334622824,0.832258064516129,0.75,0.7889908256880734,0.7222222222222222,0.52,0.6046511627906976
10,0.7142857142857143,0.85,0.776255707762557,0.5526315789473685,0.6363636363636364,0.5915492957746479,0.5317460317460317,0.67,0.5929203539823009,0.8888888888888888,0.68,0.7705382436260623,0.8674698795180723,0.72,0.7868852459016394,0.9850746268656716,0.7096774193548387,0.8250000000000001,0.85,0.796875,0.8225806451612903,0.8303571428571429,0.96875,0.8942307692307694,0.6133333333333333,0.5542168674698795,0.5822784810126582,0.7013574660633484,0.775,0.7363420427553443
7,0.4146981627296588,0.79,0.5438898450946644,0.7413793103448276,0.7678571428571429,0.7543859649122806,0.5454545454545454,0.6,0.5714285714285713,0.7872340425531915,0.74,0.7628865979381443,0.5951219512195122,0.61,0.6024691358024692,0.6687116564417178,0.5141509433962265,0.5813333333333334,0.7090909090909091,0.7647058823529411,0.7358490566037736,0.38461538461538464,0.13157894736842105,0.196078431372549,0.8969072164948454,0.564935064935065,0.6932270916334662,0.5445544554455446,0.55,0.5472636815920399
9,0.6645161290322581,0.515,0.5802816901408451,0.9459459459459459,0.546875,0.6930693069306929,0.689119170984456,0.665,0.6768447837150128,0.7923497267759563,0.725,0.7571801566579636,0.7470588235294118,0.635,0.6864864864864865,0.9142857142857143,0.7191011235955056,0.8050314465408805,0.7469879518072289,1.0,0.8551724137931034,0.7142857142857143,0.9146341463414634,0.8021390374331552,0.7842105263157895,0.9085365853658537,0.8418079096045198,0.5830258302583026,0.79,0.6709129511677282
8,0.4392523364485981,0.47,0.45410628019323673,0.504950495049505,0.85,0.6335403726708074,0.6105769230769231,0.635,0.6225490196078431,0.844311377245509,0.705,0.768392370572207,0.6682692307692307,0.695,0.6813725490196078,0.3050847457627119,0.10227272727272728,0.15319148936170213,0.6236559139784946,0.9666666666666667,0.7581699346405228,0.7264150943396226,0.4935897435897436,0.5877862595419847,0.6875,0.89375,0.7771739130434783,0.6370967741935484,0.79,0.7053571428571428
