,precision,recall,f1
air_conditioner,0.573474117624438,0.5185,0.5207074291815026
car_horn,0.8419677978692508,0.7623099223026724,0.7895237667521283
children_playing,0.6761624159642916,0.6995,0.6815870907102405
dog_bark,0.7555215981826686,0.8315000000000001,0.7871193747249645
drilling,0.7034535114223963,0.7094999999999999,0.7024581082806619
engine_idling,0.6534923326959473,0.5876685826627963,0.608330887416442
gun_shot,0.9179695525098112,0.9611940622377245,0.9385662755693783
jackhammer,0.7175166138755473,0.6494372311109691,0.668009299425173
siren,0.7730473135074489,0.7916575374136545,0.7760935091611076
street_music,0.7112439423777976,0.7390000000000001,0.7199621977819888
