,precision,recall,f1
airplane,0.7368004570249151,0.85,0.7871901446901447
breathing,0.8098039215686275,0.8125,0.7926012816335397
brushing_teeth,0.851190476190476,0.7,0.7358236808236809
can_opening,0.7498245614035087,0.8375,0.7841269841269842
car_horn,0.8096547458389564,0.7,0.7230209293748847
cat,0.6959890109890109,0.6625,0.6750670414574753
chainsaw,0.7490493166963755,0.675,0.7038023681287437
chirping_birds,0.8673504273504273,0.6625,0.7321710331522313
church_bells,0.8178690934108891,0.85,0.8254081430552018
clapping,0.8968253968253969,0.9,0.8865455859763258
clock_alarm,0.701010101010101,0.7375,0.7114895080839354
clock_tick,0.7304650904650904,0.8375,0.7699061695985694
coughing,0.8164285714285715,0.75,0.7773076923076923
cow,0.8743589743589745,0.8,0.8163152383397099
crackling_fire,0.8930242272347535,0.8,0.8295686274509805
crickets,0.7533333333333333,0.55,0.6310584898971996
crow,0.4912605042016806,0.4,0.42134825613086485
crying_baby,0.9057189542483659,0.925,0.9135383244206775
dog,0.8936988304093567,0.975,0.9299186018493419
door_wood_creaks,0.6940648567119154,0.8625,0.7532991202346041
door_wood_knock,0.8407142857142856,0.8625,0.847932742989669
drinking_sipping,0.7651820728291316,0.875,0.813104893750055
engine,0.8382623224728487,0.75,0.7817388632872504
fireworks,0.7570261437908496,0.75,0.7333419913419914
footsteps,0.8043697478991596,0.725,0.7560372960372961
frog,0.7909798534798534,0.725,0.7370604395604395
glass_breaking,0.7029885057471266,0.625,0.6404757966048289
hand_saw,0.8788972431077694,0.8125,0.8396927803379416
helicopter,0.805103668261563,0.825,0.8053610700178438
hen,0.7533441558441558,0.725,0.7279453441295547
insects,0.7548606694602118,0.9875,0.8547029389134652
keyboard_typing,0.7908658008658008,0.8125,0.787037037037037
laughing,0.7065888703659601,0.8,0.7427291689360656
mouse_click,0.7917948717948718,0.5125,0.6118522475734838
pig,0.7831274018379282,0.8875,0.8246899979503995
pouring_water,0.7334453781512605,0.6375,0.6549968636925159
rain,0.9092230576441104,0.7875,0.8357064218688246
rooster,0.9652777777777779,0.925,0.9417123056118999
sea_waves,0.7525259226497616,0.825,0.7840132416603005
sheep,0.8049673202614379,0.9,0.8447449830372031
siren,0.5727272727272728,0.425,0.4761424393302951
sneezing,0.8480473912052859,0.825,0.8282642089093702
snoring,0.7217232277526395,0.725,0.7183179565102462
thunderstorm,0.8664160401002506,0.8625,0.857543416609045
toilet_flush,0.6655627705627706,0.575,0.5706843156843157
train,0.6437950937950938,0.7375,0.6703654188948306
vacuum_cleaner,0.9378621378621379,0.8125,0.8672137766242326
washing_machine,0.5043183091418386,0.5875,0.532567816136494
water_drops,0.8273561732385263,0.675,0.6914267905919449
wind,0.9153846153846154,0.825,0.8463329263329262
