,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
10,epoch_16,0.2065,0.6313,0.8335,0.8335,0.8335,0.8433,0.846,0.8403
9,epoch_15,0.2235,0.7563,0.8237,0.8237,0.8237,0.8335,0.8220000000000001,0.8164
8,epoch_9,0.36700000000000005,1.068,0.7324,0.7324,0.7324,0.764,0.752,0.7437
7,epoch_8,0.4258,0.6729999999999999,0.7876,0.7876,0.7876,0.795,0.8066,0.797
6,epoch_16,0.1976,0.9640000000000001,0.7866,0.7866,0.7866,0.8086,0.8440000000000001,0.8125
5,epoch_31,0.076,0.4976,0.8735,0.8735,0.8735,0.8823,0.873,0.8726
4,epoch_22,0.1342,0.6846,0.795,0.795,0.795,0.7929999999999999,0.816,0.7944
3,epoch_10,0.3416,1.162,0.6685,0.6685,0.6685,0.7065,0.6904,0.6890000000000001
2,epoch_11,0.3179,0.9159999999999999,0.741,0.741,0.741,0.7666,0.752,0.747
1,epoch_10,0.3418,0.9995,0.736,0.736,0.736,0.765,0.757,0.7524
