,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
1,epoch_12,0.185,1.315,0.7495,0.7495,0.7495,0.7734,0.7929999999999999,0.7607
2,epoch_17,0.1135,1.339,0.7305,0.7305,0.7305,0.7686,0.7744,0.7559999999999999
3,epoch_8,0.3103,1.5319999999999998,0.633,0.633,0.633,0.6724,0.6616,0.65
4,epoch_9,0.2712,0.858,0.76,0.76,0.76,0.7627,0.7817,0.7559999999999999
5,epoch_5,0.4944,0.6313,0.8203,0.8203,0.8203,0.8315,0.8276,0.8220000000000001
6,epoch_6,0.41600000000000004,0.998,0.747,0.747,0.747,0.768,0.7676,0.7609999999999999
7,epoch_8,0.3054,0.7954,0.7627,0.7627,0.7627,0.7764,0.795,0.7754
8,epoch_9,0.262,1.202,0.73,0.73,0.73,0.7603,0.7559999999999999,0.7437
9,epoch_8,0.3188,0.8438,0.8059999999999999,0.8059999999999999,0.8059999999999999,0.8203,0.8286,0.815
10,epoch_29,0.03412,0.9990000000000001,0.7909999999999999,0.7909999999999999,0.7909999999999999,0.8086,0.8184,0.8086
