,precision,recall,f1
airplane,0.7052350427350427,0.75,0.7176820728291318
breathing,0.7632542819499342,0.8,0.7673745640638681
brushing_teeth,0.6030044984255509,0.65,0.6029651567944251
can_opening,0.702463768115942,0.85,0.7673705379587733
car_horn,0.8653594771241829,0.625,0.6895171065493646
cat,0.7386057054400708,0.75,0.742521645021645
chainsaw,0.6677806507218271,0.7625,0.6985033895828499
chirping_birds,0.48761849261849266,0.4,0.4242769138306663
church_bells,0.751390240306649,0.7375,0.7108084708084708
clapping,0.8308020050125314,0.825,0.8125204842851901
clock_alarm,0.6739076246334311,0.7625,0.693204625721423
clock_tick,0.7039716599190284,0.85,0.7592124234050222
coughing,0.7442113442113443,0.7,0.7136653895274585
cow,0.8887667887667888,0.625,0.7252413793103448
crackling_fire,0.6286131996658313,0.6375,0.6275070028011205
crickets,0.6214285714285714,0.525,0.5685714285714286
crow,0.43022222222222223,0.4125,0.4057599502362773
crying_baby,0.800701754385965,0.8625,0.8273413451402065
dog,0.8468716577540107,0.95,0.8801968001276756
door_wood_creaks,0.6551405037088148,0.8625,0.7339871311647047
door_wood_knock,0.6947490247746002,0.85,0.7621997541502187
drinking_sipping,0.7106805026982709,0.875,0.7820972010445695
engine,0.7913662945241893,0.6875,0.705272331154684
fireworks,0.7188986960154008,0.625,0.6375412563126448
footsteps,0.7101863354037267,0.7,0.6901461262751585
frog,0.6579547511312217,0.65,0.6379839356317285
glass_breaking,0.6524430641821946,0.5625,0.569561824400534
hand_saw,0.8460130718954246,0.85,0.846690817089299
helicopter,0.7623057644110275,0.825,0.7876647154066508
hen,0.68203007518797,0.425,0.4894505494505495
insects,0.751031991744066,0.9125,0.8226161226161226
keyboard_typing,0.6830769230769231,0.7,0.6773009239540679
laughing,0.7143861892583121,0.7375,0.719112209629451
mouse_click,0.5104761904761904,0.325,0.3881099088464817
pig,0.7368253968253968,0.8625,0.7914126650369535
pouring_water,0.5502164502164503,0.45,0.4863616557734205
rain,0.7355555555555555,0.4875,0.5781940210327308
rooster,0.9215476190476192,0.7625,0.8288499940919296
sea_waves,0.7325902992776058,0.7875,0.7577167171854079
sheep,0.7628221288515407,0.8,0.7777261499035693
siren,0.2838095238095238,0.225,0.23843383787282804
sneezing,0.8005555555555557,0.725,0.7560653293575494
snoring,0.7863636363636364,0.5625,0.6495555555555554
thunderstorm,0.768452380952381,0.7625,0.7631862745098039
toilet_flush,0.6116666666666667,0.5125,0.5448166528811691
train,0.6535052666631614,0.7,0.6613615586029379
vacuum_cleaner,0.8097285067873303,0.8375,0.8197492163009403
washing_machine,0.4554199508432918,0.55,0.4799761478831246
water_drops,0.5045488721804512,0.45,0.46902930402930404
wind,0.8181220314212642,0.7875,0.7900958300958301
