,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
2,epoch_16,0.2617,1.273,0.7095,0.7095,0.7095,0.747,0.7509999999999999,0.7344
1,epoch_10,0.4119,0.7809999999999999,0.755,0.755,0.755,0.7803,0.7705,0.7656
4,epoch_23,0.1653,0.8154,0.7709999999999999,0.7709999999999999,0.7709999999999999,0.773,0.7827,0.772
3,epoch_7,0.531,1.4680000000000002,0.6113,0.6113,0.6113,0.6504,0.6606,0.6396
7,epoch_13,0.3267,0.8667,0.7544,0.7544,0.7544,0.7617,0.7764,0.7466
6,epoch_13,0.3213,0.924,0.7607,0.7607,0.7607,0.7827,0.7964,0.7812
5,epoch_15,0.2793,0.5327,0.8525,0.8525,0.8525,0.8604,0.8496,0.853
10,epoch_28,0.1251,0.6216,0.836,0.836,0.836,0.8467,0.8555,0.846
9,epoch_13,0.3242,0.718,0.79,0.79,0.79,0.7974,0.797,0.789
8,epoch_10,0.3896,1.157,0.741,0.741,0.741,0.769,0.7686,0.7583
