,precision,recall,f1
air_conditioner,0.651230753634119,0.5650000000000001,0.5804601364333266
car_horn,0.9074643693078036,0.8780865756632797,0.8889052869504361
children_playing,0.7925934016258515,0.8045,0.7944825751254252
dog_bark,0.8221177475343684,0.8240000000000001,0.8213678391779051
drilling,0.7294827500840785,0.8210000000000001,0.7592289958002173
engine_idling,0.720272256403389,0.6734491760066391,0.6868301459531605
gun_shot,0.8367908378640223,0.9418254592442523,0.8839280362125962
jackhammer,0.7147046974044151,0.6178669730210637,0.642596088480263
siren,0.8382743272788419,0.805872917460156,0.8160177222153768
street_music,0.7947679280870659,0.8365,0.8119588534193248
