;epochs;mean_train_loss;mean_valid_loss;micro_recall;micro_precision;micro_f1;macro_recall;macro_precision;macro_f1
1;epoch_12;0,3684;1.016;0,721;0,721;0,721;0,7455;0,7518;0,734
2;epoch_20;0,2235;0,921;0,711;0,711;0,711;0,7466;0,7266;0,7314
3;epoch_9;0,4617;1.146;0,658;0,658;0,658;0,6914;0,684;0,6807
4;epoch_20;0,225;0,7905;0,7646;0,7646;0,7646;0,77;0,789;0,7695
5;epoch_21;0,2112;0,611;0,842;0,842;0,842;0,8516;0,8433;0,8447
6;epoch_10;0,418;0,943;0,749;0,749;0,749;0,7637;0,7705;0,7617
7;epoch_14;0,32;0,648;0,792;0,792;0,792;0,8047;0,811;0,8047
8;epoch_7;0,5186;1.089;0,716;0,716;0,716;0,743;0,7314;0,7324
9;epoch_18;0,248;0,8096;0,803;0,803;0,803;0,8134;0,8241;0,809
10;epoch_15;0,2961;0,7603;0,7866;0,7866;0,7866;0,8037;0,807;0,8
;;;;;;0,75432;0,77336;0,77387;0,76681
