epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.707,3.55,0.14,0.10724
epoch_2,3.37,3.28,0.195,0.1628
epoch_3,3.139,3.059,0.195,0.1528
epoch_4,2.955,2.947,0.2426,0.2115
epoch_5,2.809,2.9,0.2725,0.2334
epoch_6,2.713,2.812,0.28,0.2546
epoch_7,2.623,2.771,0.2825,0.2605
epoch_8,2.521,2.695,0.3076,0.2769
epoch_9,2.459,2.7,0.3174,0.2864
epoch_10,2.389,2.602,0.3174,0.2852
epoch_11,2.314,2.664,0.3076,0.2847
epoch_12,2.254,2.553,0.33,0.2998
epoch_13,2.234,2.56,0.3425,0.3079
epoch_14,2.242,2.557,0.35,0.3198
epoch_15,2.246,2.56,0.3425,0.312
