epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.928,3.799,0.0725,0.0338
epoch_2,3.684,3.707,0.1025,0.05704
epoch_3,3.53,3.637,0.1274,0.08234
epoch_4,3.404,3.543,0.15,0.09814
epoch_5,3.297,3.482,0.15,0.10474
epoch_6,3.176,3.418,0.15,0.096
epoch_7,3.08,3.348,0.175,0.1293
epoch_8,2.996,3.29,0.175,0.1229
epoch_9,2.912,3.271,0.17,0.12146
epoch_10,2.84,3.158,0.205,0.1619
epoch_11,2.742,3.139,0.21,0.1666
epoch_12,2.684,3.02,0.24,0.1896
epoch_13,2.598,2.969,0.27,0.2214
epoch_14,2.516,2.97,0.245,0.1952
epoch_15,2.432,2.863,0.265,0.2157
epoch_16,2.322,2.783,0.2825,0.2267
epoch_17,2.3,2.803,0.2876,0.2316
epoch_18,2.234,2.75,0.2976,0.2391
epoch_19,2.238,2.744,0.3025,0.2499
epoch_20,2.236,2.797,0.285,0.2286
epoch_21,2.217,2.738,0.305,0.2437
epoch_22,2.223,2.676,0.2925,0.2437
epoch_23,2.23,2.734,0.29,0.2301
