epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.521,3.227,0.245,0.1902
epoch_2,3.006,2.936,0.2876,0.2388
epoch_3,2.709,2.727,0.3425,0.2852
epoch_4,2.49,2.516,0.365,0.3176
epoch_5,2.29,2.367,0.4,0.3562
epoch_6,2.133,2.244,0.4226,0.379
epoch_7,2.008,2.18,0.45,0.4138
epoch_8,1.862,2.072,0.4675,0.4263
epoch_9,1.762,1.966,0.5073,0.4731
epoch_10,1.659,1.897,0.4775,0.4343
epoch_11,1.557,1.842,0.505,0.47
epoch_12,1.508,1.767,0.54,0.5166
epoch_13,1.433,1.706,0.5273,0.489
epoch_14,1.363,1.727,0.5376,0.5083
epoch_15,1.279,1.639,0.57,0.544
epoch_16,1.255,1.624,0.565,0.5347
epoch_17,1.173,1.564,0.5923,0.5654
epoch_18,1.133,1.532,0.5825,0.5605
epoch_19,1.101,1.516,0.585,0.567
epoch_20,1.055,1.5205,0.5874,0.559
epoch_21,0.982,1.472,0.6,0.573
epoch_22,0.9746,1.444,0.615,0.5884
epoch_23,0.9595,1.449,0.605,0.579
epoch_24,0.9585,1.44,0.6177,0.5894
epoch_25,0.9595,1.439,0.6074,0.5786
epoch_26,0.9556,1.438,0.6025,0.5776
epoch_27,0.9507,1.44,0.6074,0.581
