epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.736,3.53,0.18,0.1157
epoch_2,3.38,3.21,0.23,0.1536
epoch_3,3.06,2.988,0.2825,0.2189
epoch_4,2.803,2.758,0.33,0.2634
epoch_5,2.596,2.562,0.385,0.325
epoch_6,2.395,2.408,0.4075,0.3535
epoch_7,2.225,2.275,0.455,0.4036
epoch_8,2.06,2.203,0.44,0.4036
epoch_9,1.94,2.09,0.4575,0.4204
epoch_10,1.814,2.012,0.51,0.4827
epoch_11,1.719,1.922,0.5376,0.501
epoch_12,1.591,1.826,0.555,0.519
epoch_13,1.513,1.778,0.5825,0.5435
epoch_14,1.421,1.712,0.57,0.538
epoch_15,1.381,1.648,0.585,0.562
epoch_16,1.299,1.679,0.605,0.579
epoch_17,1.241,1.558,0.62,0.5854
epoch_18,1.167,1.539,0.62,0.5913
epoch_19,1.103,1.506,0.6377,0.6133
epoch_20,1.073,1.48,0.6323,0.612
epoch_21,1.009,1.393,0.655,0.6353
epoch_22,0.975,1.3955,0.65,0.627
epoch_23,0.9043,1.346,0.68,0.6562
epoch_24,0.9,1.343,0.6777,0.655
epoch_25,0.8643,1.341,0.6826,0.6616
epoch_26,0.8936,1.348,0.675,0.6523
epoch_27,0.871,1.336,0.6777,0.6567
epoch_28,0.8896,1.331,0.6777,0.6553
epoch_29,0.886,1.33,0.6724,0.65
epoch_30,0.8696,1.328,0.6777,0.6553
epoch_31,0.8687,1.325,0.6777,0.6553
epoch_32,0.8687,1.32,0.6777,0.6533
epoch_33,0.8833,1.331,0.69,0.669
