,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.762,3.523,0.13,0.0903
epoch_2,3.361,3.191,0.1725,0.1197
epoch_3,2.97,3.012,0.26,0.2163
epoch_4,2.611,2.703,0.3225,0.2808
epoch_5,2.26,2.49,0.355,0.3164
epoch_6,1.924,2.348,0.405,0.3845
epoch_7,1.579,2.178,0.485,0.46
epoch_8,1.262,2.018,0.505,0.4888
epoch_9,0.9688,1.951,0.5225,0.5063
epoch_10,0.731,1.945,0.525,0.505
epoch_11,0.552,1.822,0.535,0.5186
epoch_12,0.3765,1.837,0.5376,0.5215
epoch_13,0.2632,1.7705,0.5273,0.511
epoch_14,0.191,1.773,0.54,0.529
epoch_15,0.131,1.72,0.5527,0.539
epoch_16,0.11884,1.702,0.5576,0.5405
epoch_17,0.1148,1.753,0.55,0.535
epoch_18,0.108,1.742,0.54,0.5273
epoch_19,0.10065,1.729,0.56,0.5454
epoch_20,0.10077,1.729,0.5576,0.541
epoch_21,0.102,1.728,0.5527,0.536
epoch_22,0.0951,1.704,0.5625,0.5425
epoch_23,0.0908,1.716,0.55,0.5337
