epochs,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.8181818181818182, 'recall': 0.2727272727272727, 'f1': 0.4090909090909091, 'count': 33}","{'precision': 0.20454545454545456, 'recall': 0.18, 'f1': 0.1914893617021277, 'count': 100}","{'precision': 0.6063829787234043, 'recall': 0.57, 'f1': 0.5876288659793814, 'count': 100}","{'precision': 0.4636363636363636, 'recall': 0.51, 'f1': 0.4857142857142857, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.14397905759162305, 'recall': 0.5729166666666666, 'f1': 0.23012552301255232, 'count': 96}","{'precision': 0.2857142857142857, 'recall': 0.1686746987951807, 'f1': 0.21212121212121213, 'count': 83}","{'precision': 0.37349397590361444, 'recall': 0.31, 'f1': 0.3387978142076502, 'count': 100}"
epoch_2,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.4482758620689655, 'recall': 0.3939393939393939, 'f1': 0.41935483870967744, 'count': 33}","{'precision': 0.20253164556962025, 'recall': 0.16, 'f1': 0.1787709497206704, 'count': 100}","{'precision': 0.7142857142857143, 'recall': 0.6, 'f1': 0.6521739130434783, 'count': 100}","{'precision': 0.5714285714285714, 'recall': 0.48, 'f1': 0.5217391304347826, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.17721518987341772, 'recall': 0.7291666666666666, 'f1': 0.28513238289205706, 'count': 96}","{'precision': 0.34615384615384615, 'recall': 0.21686746987951808, 'f1': 0.2666666666666666, 'count': 83}","{'precision': 0.43010752688172044, 'recall': 0.4, 'f1': 0.4145077720207254, 'count': 100}"
epoch_3,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.3333333333333333, 'recall': 0.5151515151515151, 'f1': 0.40476190476190477, 'count': 33}","{'precision': 0.21739130434782608, 'recall': 0.15, 'f1': 0.17751479289940827, 'count': 100}","{'precision': 0.651685393258427, 'recall': 0.58, 'f1': 0.6137566137566138, 'count': 100}","{'precision': 0.4631578947368421, 'recall': 0.44, 'f1': 0.45128205128205123, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.1589041095890411, 'recall': 0.6041666666666666, 'f1': 0.25162689804772237, 'count': 96}","{'precision': 0.296875, 'recall': 0.2289156626506024, 'f1': 0.2585034013605442, 'count': 83}","{'precision': 0.4117647058823529, 'recall': 0.35, 'f1': 0.37837837837837834, 'count': 100}"
epoch_4,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.1619047619047619, 'recall': 0.5151515151515151, 'f1': 0.24637681159420294, 'count': 33}","{'precision': 0.1935483870967742, 'recall': 0.12, 'f1': 0.14814814814814814, 'count': 100}","{'precision': 0.6373626373626373, 'recall': 0.58, 'f1': 0.6073298429319371, 'count': 100}","{'precision': 0.5540540540540541, 'recall': 0.41, 'f1': 0.4712643678160919, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.19756838905775076, 'recall': 0.6770833333333334, 'f1': 0.3058823529411765, 'count': 96}","{'precision': 0.2413793103448276, 'recall': 0.25301204819277107, 'f1': 0.24705882352941178, 'count': 83}","{'precision': 0.45454545454545453, 'recall': 0.3, 'f1': 0.3614457831325301, 'count': 100}"
epoch_5,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.12345679012345678, 'recall': 0.6060606060606061, 'f1': 0.2051282051282051, 'count': 33}","{'precision': 0.2153846153846154, 'recall': 0.14, 'f1': 0.1696969696969697, 'count': 100}","{'precision': 0.6363636363636364, 'recall': 0.63, 'f1': 0.6331658291457286, 'count': 100}","{'precision': 0.5058823529411764, 'recall': 0.43, 'f1': 0.46486486486486484, 'count': 100}","{'precision': 0.3076923076923077, 'recall': 0.043010752688172046, 'f1': 0.07547169811320754, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.2289156626506024, 'recall': 0.59375, 'f1': 0.3304347826086957, 'count': 96}","{'precision': 0.2727272727272727, 'recall': 0.25301204819277107, 'f1': 0.26249999999999996, 'count': 83}","{'precision': 0.4782608695652174, 'recall': 0.33, 'f1': 0.3905325443786983, 'count': 100}"
epoch_6,"{'precision': 0.22950819672131148, 'recall': 0.14, 'f1': 0.17391304347826086, 'count': 100}","{'precision': 0.07352941176470588, 'recall': 0.45454545454545453, 'f1': 0.12658227848101267, 'count': 33}","{'precision': 0.29508196721311475, 'recall': 0.18, 'f1': 0.2236024844720497, 'count': 100}","{'precision': 0.5703703703703704, 'recall': 0.77, 'f1': 0.6553191489361703, 'count': 100}","{'precision': 0.3192488262910798, 'recall': 0.68, 'f1': 0.43450479233226835, 'count': 100}","{'precision': 0.875, 'recall': 0.15053763440860216, 'f1': 0.2568807339449541, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.4642857142857143, 'recall': 0.13541666666666666, 'f1': 0.20967741935483872, 'count': 96}","{'precision': 0.26153846153846155, 'recall': 0.20481927710843373, 'f1': 0.22972972972972971, 'count': 83}","{'precision': 0.5185185185185185, 'recall': 0.28, 'f1': 0.36363636363636365, 'count': 100}"
epoch_7,"{'precision': 0.234375, 'recall': 0.15, 'f1': 0.18292682926829268, 'count': 100}","{'precision': 0.07537688442211055, 'recall': 0.45454545454545453, 'f1': 0.1293103448275862, 'count': 33}","{'precision': 0.288135593220339, 'recall': 0.17, 'f1': 0.2138364779874214, 'count': 100}","{'precision': 0.5588235294117647, 'recall': 0.76, 'f1': 0.6440677966101696, 'count': 100}","{'precision': 0.3253588516746411, 'recall': 0.68, 'f1': 0.4401294498381877, 'count': 100}","{'precision': 0.8333333333333334, 'recall': 0.21505376344086022, 'f1': 0.3418803418803419, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.56, 'recall': 0.14583333333333334, 'f1': 0.23140495867768596, 'count': 96}","{'precision': 0.23943661971830985, 'recall': 0.20481927710843373, 'f1': 0.22077922077922077, 'count': 83}","{'precision': 0.54, 'recall': 0.27, 'f1': 0.36, 'count': 100}"
epoch_8,"{'precision': 0.21428571428571427, 'recall': 0.15, 'f1': 0.1764705882352941, 'count': 100}","{'precision': 0.07575757575757576, 'recall': 0.45454545454545453, 'f1': 0.12987012987012989, 'count': 33}","{'precision': 0.30357142857142855, 'recall': 0.17, 'f1': 0.21794871794871798, 'count': 100}","{'precision': 0.5671641791044776, 'recall': 0.76, 'f1': 0.6495726495726495, 'count': 100}","{'precision': 0.3121951219512195, 'recall': 0.64, 'f1': 0.41967213114754104, 'count': 100}","{'precision': 0.8333333333333334, 'recall': 0.21505376344086022, 'f1': 0.3418803418803419, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5925925925925926, 'recall': 0.16666666666666666, 'f1': 0.2601626016260163, 'count': 96}","{'precision': 0.25675675675675674, 'recall': 0.2289156626506024, 'f1': 0.24203821656050953, 'count': 83}","{'precision': 0.5306122448979592, 'recall': 0.26, 'f1': 0.348993288590604, 'count': 100}"
epoch_9,"{'precision': 0.21428571428571427, 'recall': 0.15, 'f1': 0.1764705882352941, 'count': 100}","{'precision': 0.07936507936507936, 'recall': 0.45454545454545453, 'f1': 0.13513513513513514, 'count': 33}","{'precision': 0.2962962962962963, 'recall': 0.16, 'f1': 0.20779220779220778, 'count': 100}","{'precision': 0.5579710144927537, 'recall': 0.77, 'f1': 0.6470588235294118, 'count': 100}","{'precision': 0.3118811881188119, 'recall': 0.63, 'f1': 0.41721854304635764, 'count': 100}","{'precision': 0.7857142857142857, 'recall': 0.23655913978494625, 'f1': 0.3636363636363636, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.6296296296296297, 'recall': 0.17708333333333334, 'f1': 0.2764227642276423, 'count': 96}","{'precision': 0.2638888888888889, 'recall': 0.2289156626506024, 'f1': 0.2451612903225806, 'count': 83}","{'precision': 0.5614035087719298, 'recall': 0.32, 'f1': 0.4076433121019108, 'count': 100}"
epoch_10,"{'precision': 0.2112676056338028, 'recall': 0.15, 'f1': 0.1754385964912281, 'count': 100}","{'precision': 0.07894736842105263, 'recall': 0.45454545454545453, 'f1': 0.13452914798206278, 'count': 33}","{'precision': 0.3076923076923077, 'recall': 0.16, 'f1': 0.2105263157894737, 'count': 100}","{'precision': 0.5454545454545454, 'recall': 0.78, 'f1': 0.6419753086419753, 'count': 100}","{'precision': 0.315, 'recall': 0.63, 'f1': 0.42, 'count': 100}","{'precision': 0.7741935483870968, 'recall': 0.25806451612903225, 'f1': 0.3870967741935484, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.75, 'recall': 0.1875, 'f1': 0.3, 'count': 96}","{'precision': 0.2714285714285714, 'recall': 0.2289156626506024, 'f1': 0.2483660130718954, 'count': 83}","{'precision': 0.5535714285714286, 'recall': 0.31, 'f1': 0.3974358974358974, 'count': 100}"
