epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,1.315,2.154,0.2808,0.2455
epoch_2,1.02,2.145,0.3167,0.274
epoch_3,0.867,2.2,0.294,0.2537
epoch_4,0.76,2.2,0.2915,0.2388
epoch_5,0.6616,2.225,0.3047,0.2532
epoch_6,0.798,2.096,0.3154,0.2673
epoch_7,0.6865,2.055,0.3213,0.2764
epoch_8,0.637,2.037,0.3203,0.2786
epoch_9,0.6055,2.025,0.3298,0.2876
epoch_10,0.575,2.02,0.3333,0.2915
epoch_11,0.5566,2.014,0.3333,0.2917
epoch_12,0.5337,2.0,0.337,0.2952
epoch_13,0.5176,1.996,0.3394,0.2979
epoch_14,0.498,1.982,0.3464,0.3052
epoch_15,0.481,1.978,0.344,0.303
epoch_16,0.465,1.969,0.344,0.3018
epoch_17,0.452,1.962,0.3525,0.3105
epoch_18,0.4365,1.952,0.3572,0.3147
epoch_19,0.425,1.949,0.3667,0.3232
epoch_20,0.4148,1.936,0.374,0.3308
epoch_21,0.3975,1.931,0.3848,0.3408
epoch_22,0.3848,1.92,0.398,0.3508
epoch_23,0.3755,1.912,0.4001,0.3528
epoch_24,0.3633,1.9,0.4207,0.369
epoch_25,0.3523,1.893,0.4207,0.3682
epoch_26,0.3418,1.884,0.4229,0.3699
epoch_27,0.333,1.88,0.4302,0.3752
epoch_28,0.321,1.871,0.4314,0.3733
epoch_29,0.3105,1.869,0.4336,0.3765
epoch_30,0.303,1.859,0.4302,0.3738
epoch_31,0.2925,1.856,0.4336,0.3743
epoch_32,0.2847,1.852,0.4326,0.3743
epoch_33,0.2761,1.849,0.4302,0.3713
epoch_34,0.2688,1.846,0.4348,0.3745
epoch_35,0.2627,1.835,0.4373,0.3767
epoch_36,0.2537,1.83,0.441,0.38
epoch_37,0.2474,1.825,0.4421,0.3813
epoch_38,0.2396,1.824,0.441,0.3809
epoch_39,0.2316,1.826,0.4421,0.3816
epoch_40,0.2246,1.821,0.4397,0.38
epoch_41,0.2211,1.816,0.4421,0.382
epoch_42,0.2125,1.811,0.4385,0.378
epoch_43,0.206,1.8,0.441,0.3801
epoch_44,0.2,1.803,0.441,0.3801
