epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,1.614,2.238,0.2126,0.02522
epoch_2,1.177,2.299,0.263,0.03714
epoch_3,0.927,2.117,0.3047,0.04593
epoch_4,0.771,2.021,0.412,0.07214
epoch_5,0.6577,1.883,0.4707,0.0853
epoch_6,0.5566,1.971,0.453,0.07697
epoch_7,0.7373,1.798,0.4575,0.0887
epoch_8,0.6035,1.783,0.4768,0.0927
epoch_9,0.548,1.76,0.4983,0.09796
epoch_10,0.5127,1.737,0.5063,0.0988
epoch_11,0.4968,1.71,0.515,0.10095
epoch_12,0.4717,1.694,0.517,0.102
epoch_13,0.4443,1.681,0.5283,0.10425
epoch_14,0.4304,1.674,0.5283,0.104
epoch_15,0.408,1.676,0.5293,0.1037
epoch_16,0.396,1.652,0.5327,0.1053
epoch_17,0.385,1.651,0.539,0.1061
epoch_18,0.3623,1.647,0.539,0.1059
epoch_19,0.3516,1.659,0.539,0.10645
