epochs,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.6857142857142857, 'recall': 0.24, 'f1': 0.3555555555555555, 'count': 100}","{'precision': 0.4634146341463415, 'recall': 0.40860215053763443, 'f1': 0.4342857142857143, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.6551724137931034, 'recall': 0.59375, 'f1': 0.6229508196721311, 'count': 96}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 83}","{'precision': 0.15639810426540285, 'recall': 0.99, 'f1': 0.27012278308321963, 'count': 100}"
epoch_2,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 0.16, 'recall': 0.04, 'f1': 0.064, 'count': 100}","{'precision': 0.7142857142857143, 'recall': 0.05, 'f1': 0.09345794392523366, 'count': 100}","{'precision': 0.42857142857142855, 'recall': 0.21, 'f1': 0.28187919463087246, 'count': 100}","{'precision': 0.5444444444444444, 'recall': 0.5268817204301075, 'f1': 0.5355191256830601, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.28444444444444444, 'recall': 0.6666666666666666, 'f1': 0.39875389408099693, 'count': 96}","{'precision': 0.42592592592592593, 'recall': 0.27710843373493976, 'f1': 0.33576642335766427, 'count': 83}","{'precision': 0.23848238482384823, 'recall': 0.88, 'f1': 0.37526652452025583, 'count': 100}"
epoch_3,"{'precision': 0.7575757575757576, 'recall': 0.25, 'f1': 0.37593984962406013, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.6666666666666666, 'recall': 0.12, 'f1': 0.20338983050847456, 'count': 100}","{'precision': 0.7142857142857143, 'recall': 0.15, 'f1': 0.24793388429752064, 'count': 100}","{'precision': 0.5934065934065934, 'recall': 0.5806451612903226, 'f1': 0.5869565217391305, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.3032258064516129, 'recall': 0.9791666666666666, 'f1': 0.4630541871921182, 'count': 96}","{'precision': 0.49230769230769234, 'recall': 0.3855421686746988, 'f1': 0.43243243243243246, 'count': 83}","{'precision': 0.2881944444444444, 'recall': 0.83, 'f1': 0.4278350515463918, 'count': 100}"
epoch_4,"{'precision': 0.6976744186046512, 'recall': 0.3, 'f1': 0.41958041958041964, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 0.45, 'recall': 0.09, 'f1': 0.15, 'count': 100}","{'precision': 0.75, 'recall': 0.3, 'f1': 0.4285714285714285, 'count': 100}","{'precision': 0.4666666666666667, 'recall': 0.14, 'f1': 0.2153846153846154, 'count': 100}","{'precision': 0.5656565656565656, 'recall': 0.6021505376344086, 'f1': 0.5833333333333334, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.2903225806451613, 'recall': 0.9375, 'f1': 0.44334975369458135, 'count': 96}","{'precision': 0.5813953488372093, 'recall': 0.30120481927710846, 'f1': 0.39682539682539686, 'count': 83}","{'precision': 0.3374485596707819, 'recall': 0.82, 'f1': 0.47813411078717205, 'count': 100}"
epoch_5,"{'precision': 0.10714285714285714, 'recall': 0.03, 'f1': 0.046875, 'count': 100}","{'precision': 0.06666666666666667, 'recall': 0.030303030303030304, 'f1': 0.041666666666666664, 'count': 33}","{'precision': 0.48148148148148145, 'recall': 0.13, 'f1': 0.20472440944881887, 'count': 100}","{'precision': 0.6851851851851852, 'recall': 0.37, 'f1': 0.4805194805194805, 'count': 100}","{'precision': 0.41379310344827586, 'recall': 0.12, 'f1': 0.18604651162790695, 'count': 100}","{'precision': 0.48120300751879697, 'recall': 0.6881720430107527, 'f1': 0.5663716814159292, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.33088235294117646, 'recall': 0.9375, 'f1': 0.4891304347826087, 'count': 96}","{'precision': 0.58, 'recall': 0.3493975903614458, 'f1': 0.4360902255639098, 'count': 83}","{'precision': 0.36681222707423583, 'recall': 0.84, 'f1': 0.5106382978723404, 'count': 100}"
epoch_6,"{'precision': 0.3508771929824561, 'recall': 0.2, 'f1': 0.25477707006369427, 'count': 100}","{'precision': 0.09523809523809523, 'recall': 0.06060606060606061, 'f1': 0.07407407407407407, 'count': 33}","{'precision': 0.5384615384615384, 'recall': 0.14, 'f1': 0.2222222222222222, 'count': 100}","{'precision': 0.76, 'recall': 0.38, 'f1': 0.5066666666666666, 'count': 100}","{'precision': 0.6666666666666666, 'recall': 0.14, 'f1': 0.23140495867768596, 'count': 100}","{'precision': 0.4745762711864407, 'recall': 0.6021505376344086, 'f1': 0.5308056872037915, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.35039370078740156, 'recall': 0.9270833333333334, 'f1': 0.5085714285714287, 'count': 96}","{'precision': 0.6037735849056604, 'recall': 0.3855421686746988, 'f1': 0.47058823529411764, 'count': 83}","{'precision': 0.3670886075949367, 'recall': 0.87, 'f1': 0.516320474777448, 'count': 100}"
epoch_7,"{'precision': 0.2555066079295154, 'recall': 0.58, 'f1': 0.35474006116207946, 'count': 100}","{'precision': 0.2631578947368421, 'recall': 0.15151515151515152, 'f1': 0.19230769230769232, 'count': 33}","{'precision': 0.5737704918032787, 'recall': 0.35, 'f1': 0.43478260869565216, 'count': 100}","{'precision': 0.7868852459016393, 'recall': 0.48, 'f1': 0.5962732919254659, 'count': 100}","{'precision': 0.5324675324675324, 'recall': 0.41, 'f1': 0.46327683615819204, 'count': 100}","{'precision': 0.5955056179775281, 'recall': 0.5698924731182796, 'f1': 0.5824175824175825, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.49193548387096775, 'recall': 0.6354166666666666, 'f1': 0.5545454545454545, 'count': 96}","{'precision': 0.5666666666666667, 'recall': 0.40963855421686746, 'f1': 0.4755244755244755, 'count': 83}","{'precision': 0.5431034482758621, 'recall': 0.63, 'f1': 0.5833333333333334, 'count': 100}"
epoch_8,"{'precision': 0.25957446808510637, 'recall': 0.61, 'f1': 0.3641791044776119, 'count': 100}","{'precision': 0.2631578947368421, 'recall': 0.15151515151515152, 'f1': 0.19230769230769232, 'count': 33}","{'precision': 0.5645161290322581, 'recall': 0.35, 'f1': 0.4320987654320988, 'count': 100}","{'precision': 0.8103448275862069, 'recall': 0.47, 'f1': 0.5949367088607594, 'count': 100}","{'precision': 0.5393258426966292, 'recall': 0.48, 'f1': 0.5079365079365079, 'count': 100}","{'precision': 0.5882352941176471, 'recall': 0.5376344086021505, 'f1': 0.5617977528089887, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5363636363636364, 'recall': 0.6145833333333334, 'f1': 0.5728155339805826, 'count': 96}","{'precision': 0.5396825396825397, 'recall': 0.40963855421686746, 'f1': 0.4657534246575342, 'count': 83}","{'precision': 0.5486725663716814, 'recall': 0.62, 'f1': 0.5821596244131455, 'count': 100}"
epoch_9,"{'precision': 0.2719298245614035, 'recall': 0.62, 'f1': 0.3780487804878049, 'count': 100}","{'precision': 0.3125, 'recall': 0.15151515151515152, 'f1': 0.20408163265306123, 'count': 33}","{'precision': 0.5757575757575758, 'recall': 0.38, 'f1': 0.45783132530120485, 'count': 100}","{'precision': 0.7619047619047619, 'recall': 0.48, 'f1': 0.5889570552147239, 'count': 100}","{'precision': 0.5568181818181818, 'recall': 0.49, 'f1': 0.5212765957446808, 'count': 100}","{'precision': 0.5777777777777777, 'recall': 0.5591397849462365, 'f1': 0.5683060109289617, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5523809523809524, 'recall': 0.6041666666666666, 'f1': 0.5771144278606964, 'count': 96}","{'precision': 0.5483870967741935, 'recall': 0.40963855421686746, 'f1': 0.46896551724137925, 'count': 83}","{'precision': 0.5517241379310345, 'recall': 0.64, 'f1': 0.5925925925925927, 'count': 100}"
epoch_10,"{'precision': 0.27601809954751133, 'recall': 0.61, 'f1': 0.38006230529595014, 'count': 100}","{'precision': 0.3125, 'recall': 0.15151515151515152, 'f1': 0.20408163265306123, 'count': 33}","{'precision': 0.5806451612903226, 'recall': 0.36, 'f1': 0.4444444444444445, 'count': 100}","{'precision': 0.7868852459016393, 'recall': 0.48, 'f1': 0.5962732919254659, 'count': 100}","{'precision': 0.5591397849462365, 'recall': 0.52, 'f1': 0.5388601036269429, 'count': 100}","{'precision': 0.5617977528089888, 'recall': 0.5376344086021505, 'f1': 0.5494505494505495, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5660377358490566, 'recall': 0.625, 'f1': 0.594059405940594, 'count': 96}","{'precision': 0.5384615384615384, 'recall': 0.42168674698795183, 'f1': 0.47297297297297297, 'count': 83}","{'precision': 0.5371900826446281, 'recall': 0.65, 'f1': 0.588235294117647, 'count': 100}"
