,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.75, 'recall': 0.09090909090909091, 'f1': 0.16216216216216214, 'count': 33}","{'precision': 0.038461538461538464, 'recall': 0.01, 'f1': 0.015873015873015876, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.875, 'recall': 0.35, 'f1': 0.4999999999999999, 'count': 100}","{'precision': 1.0, 'recall': 0.010752688172043012, 'f1': 0.021276595744680854, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.058823529411764705, 'recall': 0.010416666666666666, 'f1': 0.017699115044247787, 'count': 96}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 83}","{'precision': 0.14327485380116958, 'recall': 0.98, 'f1': 0.24999999999999994, 'count': 100}"
epoch_2,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.5555555555555556, 'recall': 0.15151515151515152, 'f1': 0.2380952380952381, 'count': 33}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.4411764705882353, 'recall': 0.45, 'f1': 0.44554455445544555, 'count': 100}","{'precision': 0.28440366972477066, 'recall': 1.0, 'f1': 0.44285714285714284, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.6785714285714286, 'recall': 0.19791666666666666, 'f1': 0.3064516129032258, 'count': 96}","{'precision': 0.6904761904761905, 'recall': 0.3493975903614458, 'f1': 0.4639999999999999, 'count': 83}","{'precision': 0.2191358024691358, 'recall': 0.71, 'f1': 0.33490566037735847, 'count': 100}"
epoch_3,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.16, 'recall': 0.12121212121212122, 'f1': 0.1379310344827586, 'count': 33}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.4, 'recall': 0.04, 'f1': 0.07272727272727272, 'count': 100}","{'precision': 0.5189873417721519, 'recall': 0.41, 'f1': 0.45810055865921784, 'count': 100}","{'precision': 0.2888198757763975, 'recall': 1.0, 'f1': 0.4481927710843373, 'count': 93}","{'precision': 0.14705882352941177, 'recall': 0.15625, 'f1': 0.15151515151515152, 'count': 32}","{'precision': 0.8461538461538461, 'recall': 0.11458333333333333, 'f1': 0.20183486238532108, 'count': 96}","{'precision': 0.4805194805194805, 'recall': 0.4457831325301205, 'f1': 0.46249999999999997, 'count': 83}","{'precision': 0.3008130081300813, 'recall': 0.74, 'f1': 0.42774566473988446, 'count': 100}"
epoch_4,"{'precision': 0.08333333333333333, 'recall': 0.03, 'f1': 0.044117647058823525, 'count': 100}","{'precision': 0.1111111111111111, 'recall': 0.06060606060606061, 'f1': 0.0784313725490196, 'count': 33}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 1.0, 'recall': 0.08, 'f1': 0.14814814814814814, 'count': 100}","{'precision': 0.29651162790697677, 'recall': 0.51, 'f1': 0.37499999999999994, 'count': 100}","{'precision': 0.31833910034602075, 'recall': 0.989247311827957, 'f1': 0.4816753926701571, 'count': 93}","{'precision': 0.3333333333333333, 'recall': 0.15625, 'f1': 0.2127659574468085, 'count': 32}","{'precision': 0.7777777777777778, 'recall': 0.14583333333333334, 'f1': 0.24561403508771928, 'count': 96}","{'precision': 0.5714285714285714, 'recall': 0.43373493975903615, 'f1': 0.4931506849315068, 'count': 83}","{'precision': 0.33796296296296297, 'recall': 0.73, 'f1': 0.46202531645569617, 'count': 100}"
epoch_5,"{'precision': 0.07894736842105263, 'recall': 0.03, 'f1': 0.043478260869565216, 'count': 100}","{'precision': 0.11538461538461539, 'recall': 0.09090909090909091, 'f1': 0.1016949152542373, 'count': 33}","{'precision': 0.21428571428571427, 'recall': 0.03, 'f1': 0.05263157894736842, 'count': 100}","{'precision': 1.0, 'recall': 0.17, 'f1': 0.2905982905982906, 'count': 100}","{'precision': 0.32, 'recall': 0.56, 'f1': 0.4072727272727273, 'count': 100}","{'precision': 0.33093525179856115, 'recall': 0.989247311827957, 'f1': 0.4959568733153639, 'count': 93}","{'precision': 0.36363636363636365, 'recall': 0.125, 'f1': 0.18604651162790697, 'count': 32}","{'precision': 1.0, 'recall': 0.09375, 'f1': 0.17142857142857143, 'count': 96}","{'precision': 0.5277777777777778, 'recall': 0.4578313253012048, 'f1': 0.4903225806451612, 'count': 83}","{'precision': 0.37055837563451777, 'recall': 0.73, 'f1': 0.4915824915824916, 'count': 100}"
epoch_6,"{'precision': 0.35251798561151076, 'recall': 0.49, 'f1': 0.41004184100418406, 'count': 100}","{'precision': 0.2, 'recall': 0.21212121212121213, 'f1': 0.2058823529411765, 'count': 33}","{'precision': 0.4, 'recall': 0.22, 'f1': 0.2838709677419355, 'count': 100}","{'precision': 0.9642857142857143, 'recall': 0.27, 'f1': 0.421875, 'count': 100}","{'precision': 0.375, 'recall': 0.57, 'f1': 0.4523809523809524, 'count': 100}","{'precision': 0.3787878787878788, 'recall': 0.8064516129032258, 'f1': 0.5154639175257731, 'count': 93}","{'precision': 0.7058823529411765, 'recall': 0.375, 'f1': 0.48979591836734687, 'count': 32}","{'precision': 1.0, 'recall': 0.10416666666666667, 'f1': 0.18867924528301885, 'count': 96}","{'precision': 0.4444444444444444, 'recall': 0.5783132530120482, 'f1': 0.5026178010471205, 'count': 83}","{'precision': 0.6210526315789474, 'recall': 0.59, 'f1': 0.6051282051282052, 'count': 100}"
epoch_7,"{'precision': 0.3511450381679389, 'recall': 0.46, 'f1': 0.39826839826839827, 'count': 100}","{'precision': 0.26666666666666666, 'recall': 0.24242424242424243, 'f1': 0.253968253968254, 'count': 33}","{'precision': 0.41379310344827586, 'recall': 0.24, 'f1': 0.3037974683544304, 'count': 100}","{'precision': 0.9583333333333334, 'recall': 0.23, 'f1': 0.3709677419354839, 'count': 100}","{'precision': 0.36075949367088606, 'recall': 0.57, 'f1': 0.441860465116279, 'count': 100}","{'precision': 0.38571428571428573, 'recall': 0.8709677419354839, 'f1': 0.5346534653465347, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.375, 'f1': 0.5217391304347825, 'count': 32}","{'precision': 1.0, 'recall': 0.09375, 'f1': 0.17142857142857143, 'count': 96}","{'precision': 0.43636363636363634, 'recall': 0.5783132530120482, 'f1': 0.4974093264248704, 'count': 83}","{'precision': 0.6344086021505376, 'recall': 0.59, 'f1': 0.6113989637305699, 'count': 100}"
epoch_8,"{'precision': 0.3333333333333333, 'recall': 0.44, 'f1': 0.37931034482758624, 'count': 100}","{'precision': 0.3076923076923077, 'recall': 0.24242424242424243, 'f1': 0.2711864406779661, 'count': 33}","{'precision': 0.39655172413793105, 'recall': 0.23, 'f1': 0.29113924050632917, 'count': 100}","{'precision': 0.9583333333333334, 'recall': 0.23, 'f1': 0.3709677419354839, 'count': 100}","{'precision': 0.3717948717948718, 'recall': 0.58, 'f1': 0.453125, 'count': 100}","{'precision': 0.38207547169811323, 'recall': 0.8709677419354839, 'f1': 0.5311475409836065, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.375, 'f1': 0.5217391304347825, 'count': 32}","{'precision': 1.0, 'recall': 0.09375, 'f1': 0.17142857142857143, 'count': 96}","{'precision': 0.43636363636363634, 'recall': 0.5783132530120482, 'f1': 0.4974093264248704, 'count': 83}","{'precision': 0.625, 'recall': 0.6, 'f1': 0.6122448979591836, 'count': 100}"
epoch_9,"{'precision': 0.3445378151260504, 'recall': 0.41, 'f1': 0.37442922374429216, 'count': 100}","{'precision': 0.30434782608695654, 'recall': 0.21212121212121213, 'f1': 0.25, 'count': 33}","{'precision': 0.4166666666666667, 'recall': 0.25, 'f1': 0.3125, 'count': 100}","{'precision': 0.9629629629629629, 'recall': 0.26, 'f1': 0.40944881889763773, 'count': 100}","{'precision': 0.36645962732919257, 'recall': 0.59, 'f1': 0.4521072796934866, 'count': 100}","{'precision': 0.3891402714932127, 'recall': 0.9247311827956989, 'f1': 0.5477707006369426, 'count': 93}","{'precision': 0.9230769230769231, 'recall': 0.375, 'f1': 0.5333333333333333, 'count': 32}","{'precision': 1.0, 'recall': 0.10416666666666667, 'f1': 0.18867924528301885, 'count': 96}","{'precision': 0.46153846153846156, 'recall': 0.5783132530120482, 'f1': 0.5133689839572193, 'count': 83}","{'precision': 0.6262626262626263, 'recall': 0.62, 'f1': 0.6231155778894472, 'count': 100}"
epoch_10,"{'precision': 0.3333333333333333, 'recall': 0.37, 'f1': 0.3507109004739336, 'count': 100}","{'precision': 0.3333333333333333, 'recall': 0.24242424242424243, 'f1': 0.2807017543859649, 'count': 33}","{'precision': 0.4032258064516129, 'recall': 0.25, 'f1': 0.30864197530864196, 'count': 100}","{'precision': 0.9629629629629629, 'recall': 0.26, 'f1': 0.40944881889763773, 'count': 100}","{'precision': 0.37662337662337664, 'recall': 0.58, 'f1': 0.4566929133858268, 'count': 100}","{'precision': 0.38095238095238093, 'recall': 0.946236559139785, 'f1': 0.5432098765432098, 'count': 93}","{'precision': 0.9230769230769231, 'recall': 0.375, 'f1': 0.5333333333333333, 'count': 32}","{'precision': 1.0, 'recall': 0.10416666666666667, 'f1': 0.18867924528301885, 'count': 96}","{'precision': 0.4444444444444444, 'recall': 0.5783132530120482, 'f1': 0.5026178010471205, 'count': 83}","{'precision': 0.6391752577319587, 'recall': 0.62, 'f1': 0.6294416243654821, 'count': 100}"
