,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
1,epoch_17,0.3193,1.124,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7390000000000001,0.7363,0.727
9,epoch_12,0.3206,0.882,0.7705,0.7705,0.7705,0.7829999999999999,0.7876,0.7705
8,epoch_23,0.12415,1.41,0.7676,0.7676,0.7676,0.7944,0.7964,0.78
7,epoch_20,0.1664,0.794,0.7803,0.7803,0.7803,0.7929999999999999,0.8115,0.7979999999999999
6,epoch_24,0.12036,1.3769999999999998,0.7490000000000001,0.7490000000000001,0.7490000000000001,0.7809999999999999,0.7783,0.769
5,epoch_20,0.1704,0.4595,0.8735,0.8735,0.8735,0.8809999999999999,0.8745,0.8735
4,epoch_15,0.2429,0.7609999999999999,0.784,0.784,0.784,0.785,0.7909999999999999,0.774
3,epoch_13,0.2844,1.0390000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.74,0.7240000000000001,0.7305
2,epoch_13,0.2937,1.082,0.715,0.715,0.715,0.7495,0.745,0.7324
1,epoch_14,0.2676,0.7812,0.7715,0.7715,0.7715,0.7915,0.7915,0.7754
10,epoch_14,0.2712,0.5529999999999999,0.8237,0.8237,0.8237,0.8345,0.8374,0.8335
