,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
6,epoch_15,0.4187,0.8340000000000001,0.764,0.764,0.764,0.774,0.7879999999999999,0.777
4,epoch_27,0.2625,0.7173,0.7705,0.7705,0.7705,0.7659999999999999,0.7803,0.767
5,epoch_32,0.2032,0.5034,0.8584,0.8584,0.8584,0.8643,0.861,0.86
3,epoch_24,0.2913,0.9546,0.69,0.69,0.69,0.7188,0.7197,0.7153
2,epoch_27,0.2537,1.006,0.716,0.716,0.716,0.75,0.7390000000000001,0.7314
1,epoch_27,0.2491,0.9359999999999999,0.7446,0.7446,0.7446,0.775,0.782,0.7715
9,epoch_35,0.1847,0.708,0.8109999999999999,0.8109999999999999,0.8109999999999999,0.8364,0.8115,0.8076
8,epoch_31,0.204,1.204,0.7217,0.7217,0.7217,0.7417,0.7495,0.7393
10,epoch_32,0.2026,0.5489999999999999,0.8237,0.8237,0.8237,0.8315,0.8384,0.8306
7,epoch_12,0.4993,0.741,0.7666,0.7666,0.7666,0.762,0.8164,0.7783
